paso,episodio,puntaje,pasos_episodio,perdida_media,pasos_por_segundo
94883,157,365.0,3269,3.36464,152.5
95543,158,270.0,2671,3.35681,152.3
96082,159,120.0,2171,3.36052,152.1
96865,160,550.0,3155,3.34763,151.9
97263,161,115.0,1617,3.34367,151.8
97854,162,270.0,2399,3.33765,151.7
98844,163,525.0,3973,3.33149,151.4
99611,164,510.0,3091,3.33198,151.2
100320,165,500.0,2869,3.32288,150.5
101043,166,160.0,2917,3.32227,150.3
101795,167,375.0,3039,3.32588,150.1
102193,168,155.0,1621,3.32362,150.0
103012,169,595.0,3301,3.32158,149.8
103518,170,165.0,2053,3.32754,149.7
104194,171,405.0,2739,3.33258,149.5
104494,172,110.0,1239,3.32642,149.5
105229,173,325.0,2977,3.32025,149.3
105504,174,100.0,1129,3.32141,149.3
106627,175,470.0,4505,3.30736,149.0
107030,176,5.0,1637,3.29947,149.0
107632,177,215.0,2429,3.28968,148.8
108208,178,450.0,2321,3.28538,148.7
108509,179,75.0,1221,3.28888,148.7
109054,180,280.0,2205,3.29516,148.6
109685,181,255.0,2535,3.29502,148.5
109950,182,45.0,1083,3.29351,148.4
110530,183,230.0,2341,3.29228,148.3
111020,184,235.0,1999,3.29598,148.2
111742,185,230.0,2915,3.29467,148.1
112711,186,220.0,3891,3.29271,147.9
113190,187,100.0,1947,3.28396,147.8
114222,188,395.0,4141,3.27716,147.6
114827,189,185.0,2437,3.27191,147.4
115439,190,260.0,2483,3.27678,147.3
116148,191,335.0,2855,3.26809,147.2
116421,192,75.0,1113,3.26486,147.1
116877,193,120.0,1851,3.26484,147.0
117378,194,195.0,2019,3.26835,146.9
117753,195,15.0,1525,3.26639,146.9
118333,196,185.0,2353,3.26404,146.8
118586,197,80.0,1053,3.2637,146.7
119126,198,435.0,2193,3.25877,146.6
119658,199,280.0,2151,3.25196,146.5
120015,200,100.0,1439,3.25197,146.5
120490,201,135.0,1935,3.24228,146.4
121043,202,235.0,2231,3.23774,146.3
121597,203,230.0,2249,3.23253,146.2
122072,204,255.0,1933,3.23233,146.1
122813,205,315.0,3003,3.22878,146.0
123891,206,530.0,4331,3.21761,145.8
124459,207,255.0,2311,3.22348,145.7
125383,208,190.0,3711,3.21652,145.6
125874,209,395.0,1999,3.21553,145.5
126385,210,265.0,2061,3.21744,145.5
126642,211,105.0,1067,3.22151,145.4
127524,212,420.0,3549,3.21752,145.3
127904,213,145.0,1537,3.21673,145.3
128172,214,80.0,1091,3.21456,145.3
128839,215,285.0,2699,3.20847,145.2
129588,216,290.0,3018,3.20944,145.1
129877,217,20.0,1169,3.21212,145.0
130787,218,480.0,3655,3.19175,144.9
131300,219,285.0,2071,3.19565,144.9
132086,220,320.0,3175,3.19281,144.8
132615,221,270.0,2151,3.19243,144.7
133190,222,285.0,2335,3.19232,144.6
133615,223,185.0,1727,3.18552,144.6
134397,224,305.0,3165,3.19312,144.5
134931,225,270.0,2151,3.19082,144.4
135377,226,240.0,1821,3.18834,144.4
135908,227,270.0,2151,3.18413,144.3
136441,228,270.0,2151,3.17934,144.3
136969,229,270.0,2151,3.17559,144.2
137501,230,270.0,2151,3.17198,144.1
138029,231,270.0,2151,3.15439,144.1
138559,232,270.0,2151,3.15046,144.0
139087,233,280.0,2145,3.14833,144.0
139939,234,195.0,3443,3.13696,143.9
140387,235,240.0,1827,3.1328,143.8
140901,236,255.0,2075,3.12277,143.8
141737,237,225.0,3377,3.1147,143.7
142575,238,255.0,3379,3.11219,143.6
143105,239,270.0,2151,3.1104,143.6
143634,240,300.0,2151,3.11361,143.5
144571,241,370.0,3761,3.10249,143.4
145099,242,270.0,2151,3.099,143.4
145627,243,270.0,2151,3.10023,143.3
146077,244,235.0,1817,3.09018,143.3
146585,245,265.0,2071,3.08801,143.2
147115,246,270.0,2151,3.08286,143.2
147965,247,225.0,3411,3.06808,143.1
148493,248,270.0,2151,3.07199,143.1
148938,249,240.0,1803,3.07331,143.0
149466,250,290.0,2141,3.08008,143.0
150000,251,270.0,2151,3.07933,142.9
150643,252,250.0,2589,3.07968,142.8
151174,253,270.0,2151,3.08256,142.8
151610,254,195.0,1757,3.08503,142.8
152124,255,255.0,2093,3.08761,142.7
152592,256,235.0,1883,3.07436,142.7
153123,257,270.0,2151,3.07425,142.6
153938,258,240.0,3293,3.06117,142.6
154471,259,270.0,2151,3.05878,142.5
155003,260,270.0,2151,3.04467,142.5
155537,261,270.0,2151,3.02765,142.4
156072,262,270.0,2151,3.0222,142.4
156569,263,275.0,2019,3.02392,142.4
157097,264,270.0,2151,3.01219,142.3
157629,265,270.0,2151,3.01269,142.3
158157,266,270.0,2151,3.00619,142.2
158598,267,240.0,1775,3.00393,142.2
159380,268,305.0,3165,2.99625,142.2
160271,269,435.0,3591,2.99161,142.1
160802,270,270.0,2151,2.98328,142.0
161206,271,230.0,1647,2.97454,142.0
161738,272,270.0,2151,2.96032,142.0
162200,273,235.0,1869,2.9498,141.9
162732,274,270.0,2151,2.94223,141.9
163242,275,265.0,2071,2.93986,141.9
163775,276,270.0,2151,2.92835,141.8
164226,277,235.0,1833,2.92912,141.8
164761,278,270.0,2151,2.92793,141.8
165295,279,270.0,2151,2.93444,141.7
165731,280,240.0,1775,2.93868,141.7
166260,281,270.0,2151,2.94461,141.7
166788,282,270.0,2151,2.95051,141.6
167318,283,270.0,2151,2.95834,141.6
167849,284,270.0,2151,2.94867,141.6
168380,285,270.0,2151,2.94465,141.6
168911,286,270.0,2151,2.9408,141.5
169439,287,270.0,2151,2.92529,141.5
169972,288,270.0,2151,2.91335,141.5
170501,289,270.0,2151,2.89581,141.5
171035,290,270.0,2151,2.88943,141.4
171568,291,270.0,2151,2.87542,141.4
172033,292,235.0,1871,2.87077,141.4
172568,293,270.0,2151,2.86315,141.4
173097,294,270.0,2151,2.85723,141.3
173625,295,270.0,2151,2.84826,141.3
174133,296,265.0,2071,2.84599,141.3
174666,297,270.0,2151,2.84499,141.2
175198,298,270.0,2151,2.83747,141.2
175730,299,270.0,2151,2.8393,141.2
176262,300,270.0,2151,2.83405,141.1
176791,301,270.0,2151,2.82391,141.1
177322,302,270.0,2151,2.82406,141.1
177854,303,270.0,2151,2.81559,141.0
178385,304,270.0,2151,2.80995,141.0
178917,305,270.0,2151,2.79997,141.0
179448,306,290.0,2141,2.78793,141.0
179977,307,270.0,2151,2.78011,140.9
180506,308,270.0,2151,2.7832,140.9
180959,309,235.0,1833,2.7837,140.9
181492,310,270.0,2151,2.77399,140.9
182028,311,270.0,2159,2.77496,140.8
182556,312,270.0,2151,2.77473,140.8
183088,313,270.0,2151,2.77107,140.8
183623,314,280.0,2153,2.7691,140.7
184746,315,600.0,4527,2.7584,140.7
185281,316,270.0,2151,2.7523,140.7
185809,317,270.0,2151,2.74409,140.6
186661,318,360.0,3439,2.72641,140.6
188158,319,1125.0,6023,2.72468,140.5
188688,320,270.0,2151,2.71958,140.5
189216,321,270.0,2151,2.71554,140.5
189746,322,270.0,2151,2.70909,140.4
190262,323,180.0,2093,2.717,140.4
190704,324,240.0,1803,2.71793,140.4
191232,325,270.0,2151,2.70856,140.4
191762,326,270.0,2151,2.70785,140.3
192302,327,280.0,2193,2.71363,140.3
192831,328,270.0,2151,2.70274,140.3
193365,329,270.0,2151,2.70228,140.3
193896,330,270.0,2151,2.69137,140.2
194425,331,270.0,2151,2.67664,140.2
194955,332,270.0,2151,2.67349,140.2
195409,333,235.0,1833,2.67072,140.2
195943,334,270.0,2151,2.66567,140.1
197062,335,800.0,4509,2.67625,140.1
197597,336,270.0,2151,2.67971,140.0
198128,337,270.0,2151,2.68854,140.0
198662,338,270.0,2151,2.68704,140.0
199193,339,270.0,2151,2.68605,140.0
199728,340,270.0,2151,2.68062,139.9
200263,341,270.0,2151,2.67361,139.7
200791,342,270.0,2131,2.66056,139.7
201320,343,270.0,2151,2.64259,139.7
201854,344,270.0,2151,2.62787,139.6
202391,345,270.0,2165,2.62349,139.6
202926,346,270.0,2161,2.61706,139.6
203456,347,270.0,2151,2.61758,139.5
203988,348,270.0,2151,2.61325,139.5
204523,349,270.0,2151,2.61807,139.5
205057,350,270.0,2151,2.63109,139.4
205589,351,270.0,2151,2.63955,139.4
206453,352,635.0,3497,2.64268,139.4
206985,353,270.0,2151,2.63907,139.4
207520,354,270.0,2151,2.64167,139.3
208049,355,270.0,2151,2.6441,139.3
208581,356,270.0,2151,2.62864,139.3
209111,357,270.0,2151,2.62112,139.3
209967,358,560.0,3439,2.60401,139.3
210498,359,270.0,2151,2.59327,139.2
211032,360,270.0,2151,2.58522,139.2
211849,361,375.0,3287,2.5762,139.2
212383,362,305.0,2151,2.56576,139.2
212911,363,270.0,2131,2.56943,139.1
213766,364,560.0,3439,2.5596,139.1
214299,365,270.0,2151,2.56137,139.1
214832,366,270.0,2151,2.5578,139.1
215365,367,270.0,2151,2.54879,139.1
215896,368,260.0,2151,2.54158,139.0
216431,369,270.0,2157,2.53257,139.0
216959,370,270.0,2151,2.52255,139.0
217503,371,305.0,2189,2.51528,139.0
218031,372,290.0,2151,2.51052,139.0
218562,373,270.0,2151,2.50564,139.0
219093,374,270.0,2151,2.49662,138.9
219894,375,340.0,3229,2.49049,138.9
220422,376,270.0,2151,2.484,138.9
220950,377,280.0,2151,2.48108,138.9
221482,378,280.0,2151,2.47859,138.9
222335,379,560.0,3439,2.46892,138.8
222863,380,270.0,2151,2.46053,138.8
223397,381,270.0,2151,2.4579,138.8
223930,382,275.0,2151,2.45675,138.8
224385,383,235.0,1839,2.45573,138.8
224916,384,270.0,2153,2.46009,138.7
225697,385,295.0,3149,2.44847,138.7
226554,386,560.0,3439,2.43666,138.7
227087,387,270.0,2151,2.43061,138.7
227620,388,270.0,2151,2.42375,138.7
228151,389,270.0,2151,2.41347,138.6
228683,390,270.0,2151,2.40537,138.6
229212,391,280.0,2151,2.39694,138.6
229744,392,270.0,2151,2.39626,138.6
230275,393,270.0,2151,2.39038,138.6
230806,394,280.0,2151,2.39335,138.5
231337,395,280.0,2151,2.3929,138.5
231800,396,225.0,1869,2.39014,138.5
232328,397,270.0,2151,2.38983,138.5
232860,398,270.0,2151,2.39358,138.5
233389,399,280.0,2153,2.39029,138.5
233923,400,270.0,2157,2.38375,138.5
234457,401,270.0,2165,2.3814,138.4
234986,402,300.0,2151,2.38105,138.4
235518,403,280.0,2153,2.37652,138.4
236298,404,295.0,3149,2.3754,138.4
236718,405,185.0,1709,2.38124,138.4
237248,406,270.0,2151,2.38308,138.4
238076,407,170.0,3345,2.37973,138.3
238605,408,270.0,2151,2.36935,138.3
239136,409,275.0,2151,2.36772,138.3
239559,410,185.0,1709,2.36896,138.3
240507,411,290.0,3809,2.35134,138.3
241037,412,280.0,2151,2.3379,138.2
241568,413,270.0,2153,2.33102,138.2
242110,414,295.0,2195,2.3223,138.2
242654,415,270.0,2189,2.31409,138.2
243186,416,280.0,2151,2.3129,138.2
243608,417,185.0,1709,2.2934,138.2
244461,418,560.0,3439,2.29434,138.1
244993,419,280.0,2153,2.29415,138.1
245848,420,560.0,3439,2.29892,138.1
246698,421,560.0,3439,2.30265,138.1
247232,422,285.0,2157,2.29907,138.1
247717,423,290.0,1979,2.29723,138.0
248653,424,355.0,3769,2.28021,138.0
249186,425,280.0,2151,2.267,138.0
250206,426,300.0,4093,2.26183,138.0
250747,427,280.0,2185,2.25415,138.0
251278,428,275.0,2151,2.24815,137.9
251809,429,270.0,2159,2.25234,137.9
252341,430,275.0,2151,2.25263,137.9
252874,431,270.0,2151,2.24491,137.9
253404,432,270.0,2151,2.24257,137.9
253939,433,290.0,2153,2.23851,137.9
255075,434,800.0,4559,2.23275,137.8
255615,435,280.0,2189,2.2303,137.8
256468,436,345.0,3433,2.22046,137.8
257247,437,540.0,3133,2.21636,137.8
257790,438,280.0,2185,2.21017,137.8
258608,439,385.0,3303,2.20332,137.8
259425,440,355.0,3289,2.18777,137.7
260261,441,235.0,3375,2.1799,137.7
260801,442,275.0,2183,2.17349,137.7
262058,443,475.0,5065,2.15838,137.7
262600,444,285.0,2189,2.15532,137.7
263380,445,295.0,3149,2.15544,137.6
263770,446,130.0,1587,2.15163,137.6
264314,447,275.0,2201,2.15343,137.6
264857,448,275.0,2193,2.14217,137.6
265637,449,530.0,3153,2.13365,137.6
266170,450,275.0,2151,2.12841,137.6
266704,451,275.0,2153,2.11693,137.6
267590,452,410.0,3563,2.09778,137.5
268131,453,305.0,2189,2.09239,137.5
268673,454,275.0,2201,2.08807,137.5
269202,455,280.0,2153,2.09442,137.5
269974,456,295.0,3121,2.08789,137.5
270517,457,275.0,2187,2.08876,137.5
271303,458,335.0,3185,2.08717,137.4
272104,459,555.0,3243,2.08595,137.4
272634,460,280.0,2153,2.07898,137.4
273762,461,400.0,4527,2.06353,137.4
274545,462,495.0,3147,2.04999,137.4
275117,463,280.0,2315,2.03761,137.4
275946,464,575.0,3339,2.01699,137.4
276732,465,535.0,3179,2.01657,137.3
277286,466,305.0,2231,2.01108,137.3
278186,467,635.0,3613,2.0056,137.3
278964,468,295.0,3145,2.00265,137.3
279443,469,280.0,1939,2.00299,137.3
280229,470,340.0,3169,1.99134,137.2
281116,471,425.0,3573,1.97613,137.2
281656,472,285.0,2189,1.97322,137.2
282204,473,290.0,2211,1.9665,137.2
283025,474,365.0,3305,1.95073,137.2
283816,475,335.0,3185,1.9453,137.2
284614,476,365.0,3203,1.93742,137.2
285406,477,340.0,3181,1.9365,137.1
285950,478,275.0,2191,1.93501,137.1
286504,479,295.0,2229,1.93873,137.1
287293,480,355.0,3193,1.92835,137.1
287803,481,255.0,2053,1.93022,137.1
288938,482,375.0,4561,1.92556,137.1
289723,483,340.0,3177,1.92005,137.0
290296,484,285.0,2323,1.92016,137.0
290841,485,285.0,2195,1.91658,137.0
291695,486,390.0,3447,1.92173,137.0
292485,487,340.0,3185,1.91904,137.0
292965,488,280.0,1939,1.91167,137.0
293472,489,285.0,2053,1.91128,137.0
294013,490,285.0,2195,1.90922,137.0
294791,491,500.0,3145,1.90781,137.0
295976,492,485.0,4767,1.89597,136.9
296522,493,285.0,2203,1.8997,136.9
297304,494,340.0,3167,1.91072,136.9
297848,495,285.0,2195,1.91076,136.9
298392,496,285.0,2203,1.9114,136.9
298933,497,275.0,2191,1.91136,136.9
299474,498,275.0,2195,1.91161,136.9
300019,499,285.0,2191,1.90807,136.8
300558,500,285.0,2193,1.90163,136.8
301096,501,285.0,2191,1.89613,136.7
302003,502,440.0,3661,1.89101,136.7
302782,503,310.0,3139,1.88722,136.7
303593,504,385.0,3283,1.88066,136.7
304133,505,285.0,2195,1.8841,136.7
304710,506,285.0,2343,1.88397,136.7
305987,507,475.0,5125,1.87782,136.7
306775,508,355.0,3193,1.87519,136.7
307635,509,555.0,3479,1.8713,136.7
308414,510,340.0,3135,1.86905,136.7
309219,511,610.0,3247,1.8743,136.7
309992,512,575.0,3127,1.87183,136.6
310774,513,330.0,3157,1.8693,136.6
312061,514,910.0,5179,1.87632,136.6
312844,515,340.0,3163,1.87025,136.5
313659,516,385.0,3275,1.87486,136.5
314215,517,370.0,2251,1.87505,136.5
314693,518,280.0,1939,1.87302,136.5
315545,519,720.0,3431,1.8658,136.5
316336,520,375.0,3185,1.85976,136.5
316817,521,270.0,1945,1.85343,136.5
317362,522,285.0,2199,1.8536,136.5
318638,523,570.0,5115,1.84572,136.4
319458,524,420.0,3321,1.84458,136.4
320045,525,320.0,2371,1.84737,136.4
320832,526,630.0,3177,1.84641,136.4
321415,527,295.0,2369,1.84123,136.4
